"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_1168547",1,1,1,1,1,1,1,1,"1"
"taxid_1692242",1,1,1,1,1,1,1,1,"1"
"taxid_1420600",1,1,1,1,1,1,1,1,"1"
"taxid_1634476",1,1,1,1,1,1,1,1,"1"
"taxid_2293273",1,1,1,1,1,1,1,1,"1"
"taxid_1618233",1,1,1,1,1,1,1,1,"1"
"taxid_1618234",2,2,1,1,1,1,2,1,"1"
"taxid_1618235",1,1,1,1,1,1,1,1,"1"
"taxid_1618236",2,2,1,1,1,1,1,1,"1"
"taxid_1618237",2,2,1,1,1,1,1,1,"1"
"taxid_1618238",3,2,1,2,1,2,2,1,"2"
"taxid_1618239",1,1,1,1,1,1,1,1,"1"
"taxid_1618240",1,1,1,1,1,1,1,1,"1"
"taxid_1618242",3,2,1,2,1,2,2,1,"2"
"taxid_1618232",1,1,1,1,1,1,1,1,"1"
"taxid_1618244",2,2,1,1,1,1,2,1,"1"
"taxid_1618245",1,1,1,1,1,1,1,1,"1"
"taxid_1618246",1,1,1,1,1,1,1,1,"1"
"taxid_1618247",1,1,1,1,1,1,1,1,"1"
"taxid_1618248",1,1,1,1,1,1,1,1,"1"
"taxid_1618249",1,1,1,1,1,1,1,1,"1"
"taxid_1618250",2,2,1,1,1,1,2,1,"1"
"taxid_1618251",2,2,1,2,1,1,2,1,"1"
"taxid_1618252",2,2,1,1,1,1,2,1,"1"
"taxid_1618253",1,1,1,1,1,1,1,1,"1"
"taxid_1618243",1,1,1,1,1,1,1,1,"1"
"taxid_1618254",2,2,1,2,1,1,2,1,"1"
"taxid_1618255",1,1,1,1,1,1,1,1,"1"
"taxid_1618256",2,2,1,1,1,1,2,1,"1"
"taxid_1618257",1,1,1,1,1,1,1,1,"1"
"taxid_1618258",1,1,1,1,1,1,1,1,"1"
"taxid_1618259",1,1,1,1,1,1,1,1,"1"
"taxid_1618260",1,1,1,1,1,1,1,1,"1"
"taxid_759938",1,1,1,1,1,1,1,1,"1"
"taxid_1868218",1,1,1,1,1,1,1,1,"1"
"taxid_1868219",1,1,1,1,1,1,1,1,"1"
"taxid_2050585",1,1,1,1,1,1,1,1,"1"
"taxid_2050586",1,1,1,1,1,1,1,1,"1"
"taxid_2050587",1,1,1,1,1,1,1,1,"1"
"taxid_1572237",1,1,1,1,1,1,1,1,"1"
"taxid_1572239",1,1,1,1,1,1,1,1,"1"
"taxid_1329650",1,1,1,1,1,1,1,1,"1"
"taxid_795381",1,1,1,1,1,1,1,1,"1"
"taxid_77856",1,1,1,1,1,1,1,1,"1"
"taxid_1692244",2,2,1,1,1,1,2,1,"1"
"taxid_1692245",1,1,1,1,1,1,1,1,"1"
"taxid_1692246",1,1,1,1,1,1,1,1,"1"
"taxid_142661",1,1,1,1,1,1,1,1,"1"
"taxid_1194757",1,1,1,1,1,1,1,1,"1"
"taxid_2109365",1,1,1,1,1,1,1,1,"1"
"taxid_1676184",4,3,2,3,2,3,3,2,"3"
