"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_665102",1,1,1,1,1,1,1,1,"1"
"taxid_1312723",2,2,2,2,2,2,2,2,"2"
"taxid_932071",1,1,1,1,1,1,1,1,"1"
"taxid_1046572",1,1,1,1,1,1,1,1,"1"
"taxid_10815",1,1,1,1,1,1,1,1,"1"
"taxid_188333",2,2,2,2,2,2,2,2,"2"
"taxid_912033",2,2,2,2,2,2,2,2,"2"
"taxid_298650",2,2,2,2,2,2,2,2,"2"
"taxid_222078",2,2,2,2,2,2,2,2,"2"
"taxid_1329380",2,2,2,2,2,2,2,2,"2"
"taxid_437061",2,2,2,2,2,2,2,2,"2"
"taxid_437063",2,2,2,2,2,2,2,2,"2"
"taxid_222079",2,2,2,2,2,2,2,2,"2"
"taxid_222441",2,2,2,2,2,2,2,2,"2"
"taxid_1306546",2,2,2,2,2,2,2,2,"2"
"taxid_452758",2,2,2,2,2,2,2,2,"2"
"taxid_1317107",1,1,1,1,1,1,1,1,"1"
"taxid_337826",2,2,2,2,2,2,2,2,"2"
"taxid_1738045",2,2,2,2,2,2,2,2,"2"
"taxid_1633752",2,2,2,2,2,2,2,2,"2"
"taxid_1611435",1,1,1,1,1,1,1,1,"1"
"taxid_1476487",2,2,2,2,2,2,2,2,"2"
"taxid_1229324",2,2,2,2,2,2,2,2,"2"
"taxid_31602",1,1,1,1,1,1,1,1,"1"
"taxid_1227354",1,1,1,1,1,1,1,1,"1"
"taxid_10838",1,1,1,1,1,1,1,1,"1"
"taxid_10839",1,1,1,1,1,1,1,1,"1"
"taxid_222445",1,1,1,1,1,1,1,1,"1"
"taxid_220340",1,1,1,1,1,1,1,1,"1"
"taxid_2004460",2,2,2,2,2,2,2,2,"2"
"taxid_2169732",2,2,2,2,2,2,2,2,"2"
"taxid_57119",2,2,2,2,2,2,2,2,"2"
"taxid_714310",2,2,2,2,2,2,2,2,"2"
"taxid_391228",2,2,2,2,2,2,2,2,"2"
"taxid_10840",2,2,2,2,2,2,2,2,"2"
"taxid_591160",2,2,2,2,2,2,2,2,"2"
"taxid_587620",2,2,2,2,2,2,2,2,"2"
"taxid_658650",2,2,2,2,2,2,2,2,"2"
"taxid_908028",2,2,2,2,2,2,2,2,"2"
"taxid_120168",2,2,2,2,2,2,2,2,"2"
"taxid_1513489",1,1,1,1,1,1,1,1,"1"
"taxid_536081",1,1,1,1,1,1,1,1,"1"
"taxid_1246650",1,1,1,1,1,1,1,1,"1"
"taxid_361697",2,2,2,2,2,2,2,2,"2"
"taxid_936005",2,2,2,2,2,2,2,2,"2"
"taxid_345184",1,1,1,1,1,1,1,1,"1"
"taxid_51336",1,1,1,1,1,1,1,1,"1"
"taxid_2122733",2,2,2,2,2,2,2,2,"2"
"taxid_1311277",1,1,1,1,1,1,1,1,"1"
"taxid_1125764",1,1,1,1,1,1,1,1,"1"
"taxid_1076345",2,2,2,2,2,2,2,2,"2"
"taxid_1129032",2,2,2,2,2,2,2,2,"2"
"taxid_222450",2,2,2,2,2,2,2,2,"2"
"taxid_1032478",2,2,2,2,2,2,2,2,"2"
"taxid_1302848",2,2,2,2,2,2,2,2,"2"
"taxid_887825",2,2,2,2,2,2,2,2,"2"
"taxid_463360",2,2,2,2,2,2,2,2,"2"
"taxid_887827",2,2,2,2,2,2,2,2,"2"
"taxid_1568974",2,2,2,2,2,2,2,2,"2"
"taxid_1162557",2,2,2,2,2,2,2,2,"2"
"taxid_1678003",2,2,2,2,2,2,2,2,"2"
"taxid_577124",2,2,2,2,2,2,2,2,"2"
"taxid_1000665",2,2,2,2,2,2,2,2,"2"
"taxid_1000664",2,2,2,2,2,2,2,2,"2"
"taxid_172278",2,2,2,2,2,2,2,2,"2"
"taxid_858516",2,2,2,2,2,2,2,2,"2"
"taxid_47838",1,1,1,1,1,1,1,1,"1"
"taxid_10820",2,2,2,2,2,2,2,2,"2"
"taxid_1202142",2,2,2,2,2,2,2,2,"2"
"taxid_858517",2,2,2,2,2,2,2,2,"2"
"taxid_666144",1,1,1,1,1,1,1,1,"1"
"taxid_390438",1,1,1,1,1,1,1,1,"1"
"taxid_326811",2,2,2,2,2,2,2,2,"2"
"taxid_559878",1,1,1,1,1,1,1,1,"1"
"taxid_649509",2,2,2,2,2,2,2,2,"2"
"taxid_1747500",1,1,1,1,1,1,1,1,"1"
"taxid_1532882",1,1,1,1,1,1,1,1,"1"
"taxid_1915202",1,1,1,1,1,1,1,1,"1"
"taxid_1915203",1,1,1,1,1,1,1,1,"1"
"taxid_390436",1,1,1,1,1,1,1,1,"1"
"taxid_403897",1,1,1,1,1,1,1,1,"1"
"taxid_1297645",2,2,2,2,2,2,2,2,"2"
"taxid_293284",1,1,1,1,1,1,1,1,"1"
"taxid_1396815",1,1,1,1,1,1,1,1,"1"
"taxid_77647",1,1,1,1,1,1,1,1,"1"
"taxid_222456",2,2,2,2,2,2,2,2,"2"
"taxid_307110",2,2,2,2,2,2,2,2,"2"
"taxid_620894",2,2,2,2,2,2,2,2,"2"
"taxid_222460",2,2,2,2,2,2,2,2,"2"
"taxid_222459",2,2,2,2,2,2,2,2,"2"
"taxid_222464",2,2,2,2,2,2,2,2,"2"
"taxid_674996",2,2,2,2,2,2,2,2,"2"
"taxid_53010",2,2,2,2,2,2,2,2,"2"
"taxid_79236",1,1,1,1,1,1,1,1,"1"
"taxid_223260",2,2,2,2,2,2,2,2,"2"
"taxid_417288",2,2,2,2,2,2,2,2,"2"
"taxid_207697",2,2,2,2,2,2,2,2,"2"
"taxid_671095",2,2,2,2,2,2,2,2,"2"
"taxid_134681",1,1,1,1,1,1,1,1,"1"
"taxid_1227356",1,1,1,1,1,1,1,1,"1"
"taxid_1038082",2,2,2,2,2,2,2,2,"2"
"taxid_1227357",1,1,1,1,1,1,1,1,"1"
"taxid_1812308",1,1,1,1,1,1,1,1,"1"
"taxid_361731",1,1,1,1,1,1,1,1,"1"
"taxid_1960710",1,1,1,1,1,1,1,1,"1"
"taxid_94700",1,1,1,1,1,1,1,1,"1"
"taxid_1196237",2,2,2,2,2,2,2,2,"2"
"taxid_889510",2,2,2,2,2,2,2,2,"2"
"taxid_10837",2,2,2,2,2,2,2,2,"2"
"taxid_333968",1,1,1,1,1,1,1,1,"1"
"taxid_1249648",2,2,2,2,2,2,2,2,"2"
"taxid_742163",2,2,2,2,2,2,2,2,"2"
"taxid_223262",1,1,1,1,1,1,1,1,"1"
"taxid_393599",1,1,1,1,1,1,1,1,"1"
"taxid_223265",2,2,2,2,2,2,2,2,"2"
"taxid_223264",1,1,1,1,1,1,1,1,"1"
"taxid_62079",1,1,1,1,1,1,1,1,"1"
"taxid_223275",1,1,1,1,1,1,1,1,"1"
"taxid_875324",2,2,2,2,2,2,2,2,"2"
"taxid_2020881",2,2,2,2,2,2,2,2,"2"
"taxid_498805",2,2,2,2,2,2,2,2,"2"
"taxid_638358",2,2,2,2,2,2,2,2,"2"
"taxid_1030595",2,2,2,2,2,2,2,2,"2"
"taxid_496807",2,2,2,2,2,2,2,2,"2"
"taxid_390443",2,2,2,2,2,2,2,2,"2"
"taxid_186637",2,2,2,2,2,2,2,2,"2"
"taxid_519350",2,2,2,2,2,2,2,2,"2"
"taxid_223276",2,2,2,2,2,2,2,2,"2"
"taxid_335404",2,2,2,2,2,2,2,2,"2"
"taxid_436246",2,2,2,2,2,2,2,2,"2"
"taxid_269095",2,2,2,2,2,2,2,2,"2"
"taxid_1853865",2,2,2,2,2,2,2,2,"2"
"taxid_412688",2,2,2,2,2,2,2,2,"2"
"taxid_270117",2,2,2,2,2,2,2,2,"2"
"taxid_2169733",2,2,2,2,2,2,2,2,"2"
"taxid_429564",2,2,2,2,2,2,2,2,"2"
"taxid_1578825",2,2,2,2,2,2,2,2,"2"
"taxid_598494",1,1,1,1,1,1,1,1,"1"
"taxid_2093275",2,2,2,2,2,2,2,2,"2"
"taxid_2050584",2,2,2,2,2,2,2,2,"2"
"taxid_509531",2,2,2,2,2,2,2,2,"2"
"taxid_509532",1,1,1,1,1,1,1,1,"1"
"taxid_1906317",2,2,2,2,2,2,2,2,"2"
"taxid_1381007",2,2,2,2,2,2,2,2,"2"
"taxid_1428190",2,2,2,2,2,2,2,2,"2"
"taxid_1383052",2,2,2,2,2,2,2,2,"2"
"taxid_199587",2,2,2,2,2,2,2,2,"2"
"taxid_163655",2,2,2,2,2,2,2,2,"2"
"taxid_1504732",2,2,2,2,2,2,2,2,"2"
"taxid_944994",2,2,2,2,2,2,2,2,"2"
"taxid_1233675",2,2,2,2,2,2,2,2,"2"
"taxid_180587",2,2,2,2,2,2,2,2,"2"
"taxid_240865",2,2,2,2,2,2,2,2,"2"
"taxid_263793",1,1,1,1,1,1,1,1,"1"
"taxid_46448",2,2,2,2,2,2,2,2,"2"
"taxid_31600",1,1,1,1,1,1,1,1,"1"
"taxid_653358",2,2,2,2,2,2,2,2,"2"
"taxid_1198450",1,1,1,1,1,1,1,1,"1"
"taxid_1490227",1,1,1,1,1,1,1,1,"1"
"taxid_1982675",1,1,1,1,1,1,1,1,"1"
"taxid_1547577",2,2,2,2,2,2,2,2,"2"
"taxid_2169734",2,2,2,2,2,2,2,2,"2"
"taxid_543876",2,2,2,2,2,2,2,2,"2"
"taxid_1530093",2,2,2,2,2,2,2,2,"2"
"taxid_569949",2,2,2,2,2,2,2,2,"2"
"taxid_1213406",2,2,2,2,2,2,2,2,"2"
"taxid_75574",1,1,1,1,1,1,1,1,"1"
"taxid_1485012",2,2,2,2,2,2,2,2,"2"
"taxid_2093273",2,2,2,2,2,2,2,2,"2"
"taxid_508750",2,2,2,2,2,2,2,2,"2"
"taxid_390437",1,1,1,1,1,1,1,1,"1"
"taxid_58177",2,2,2,2,2,2,2,2,"2"
"taxid_2093276",2,2,2,2,2,2,2,2,"2"
"taxid_300411",2,2,2,2,2,2,2,2,"2"
"taxid_1740165",2,2,2,2,2,2,2,2,"2"
"taxid_390444",2,2,2,2,2,2,2,2,"2"
"taxid_325111",2,2,2,2,2,2,2,2,"2"
"taxid_207240",1,1,1,1,1,1,1,1,"1"
"taxid_1779714",1,1,1,1,1,1,1,1,"1"
"taxid_1904880",2,2,2,2,2,2,2,2,"2"
"taxid_1904881",1,1,1,1,1,1,1,1,"1"
"taxid_51676",1,1,1,1,1,1,1,1,"1"
"taxid_2021666",1,1,1,1,1,1,1,1,"1"
"taxid_223282",1,1,1,1,1,1,1,1,"1"
"taxid_223284",1,1,1,1,1,1,1,1,"1"
"taxid_169865",1,1,1,1,1,1,1,1,"1"
"taxid_1129033",1,1,1,1,1,1,1,1,"1"
"taxid_1129034",2,2,2,2,2,2,2,2,"2"
"taxid_1129035",2,2,2,2,2,2,2,2,"2"
"taxid_1182518",2,2,2,2,2,2,2,2,"2"
"taxid_268316",2,2,2,2,2,2,2,2,"2"
"taxid_2025388",2,2,2,2,2,2,2,2,"2"
"taxid_2202146",2,2,2,2,2,2,2,2,"2"
"taxid_1906668",1,1,1,1,1,1,1,1,"1"
"taxid_377610",2,2,2,2,2,2,2,2,"2"
"taxid_1333313",2,2,2,2,2,2,2,2,"2"
"taxid_329290",2,2,2,2,2,2,2,2,"2"
"taxid_643133",2,2,2,2,2,2,2,2,"2"
"taxid_376612",1,1,1,1,1,1,1,1,"1"
"taxid_377462",2,2,2,2,2,2,2,2,"2"
"taxid_642493",2,2,2,2,2,2,2,2,"2"
"taxid_1633139",2,2,2,2,2,2,2,2,"2"
"taxid_911574",2,2,2,2,2,2,2,2,"2"
"taxid_676044",2,2,2,2,2,2,2,2,"2"
"taxid_222475",2,2,2,2,2,2,2,2,"2"
"taxid_290030",2,2,2,2,2,2,2,2,"2"
"taxid_1742594",1,1,1,1,1,1,1,1,"1"
"taxid_1742595",1,1,1,1,1,1,1,1,"1"
"taxid_223286",1,1,1,1,1,1,1,1,"1"
"taxid_180399",1,1,1,1,1,1,1,1,"1"
"taxid_714309",1,1,1,1,1,1,1,1,"1"
"taxid_77813",1,1,1,1,1,1,1,1,"1"
"taxid_508748",2,2,2,2,2,2,2,2,"2"
"taxid_360579",2,2,2,2,2,2,2,2,"2"
"taxid_390440",2,2,2,2,2,2,2,2,"2"
"taxid_1431395",2,2,2,2,2,2,2,2,"2"
"taxid_268776",2,2,2,2,2,2,2,2,"2"
"taxid_1631303",2,2,2,2,2,2,2,2,"2"
"taxid_223287",1,1,1,1,1,1,1,1,"1"
"taxid_33726",1,1,1,1,1,1,1,1,"1"
"taxid_1229325",2,2,2,2,2,2,2,2,"2"
"taxid_497863",2,2,2,2,2,2,2,2,"2"
"taxid_908127",2,2,2,2,2,2,2,2,"2"
"taxid_908125",2,2,2,2,2,2,2,2,"2"
"taxid_912034",2,2,2,2,2,2,2,2,"2"
"taxid_908124",2,2,2,2,2,2,2,2,"2"
"taxid_1241370",2,2,2,2,2,2,2,2,"2"
"taxid_163654",2,2,2,2,2,2,2,2,"2"
"taxid_619599",1,1,1,1,1,1,1,1,"1"
"taxid_401040",2,2,2,2,2,2,2,2,"2"
"taxid_327280",1,1,1,1,1,1,1,1,"1"
"taxid_227137",2,2,2,2,2,2,2,2,"2"
"taxid_1602199",2,2,2,2,2,2,2,2,"2"
"taxid_10826",2,2,2,2,2,2,2,2,"2"
"taxid_913600",2,2,2,2,2,2,2,2,"2"
"taxid_229634",2,2,2,2,2,2,2,2,"2"
"taxid_271479",2,2,2,2,2,2,2,2,"2"
"taxid_53260",2,2,2,2,2,2,2,2,"2"
"taxid_1196236",2,2,2,2,2,2,2,2,"2"
"taxid_1072672",2,2,2,2,2,2,2,2,"2"
"taxid_2162638",2,2,2,2,2,2,2,2,"2"
"taxid_1737555",1,1,1,1,1,1,1,1,"1"
"taxid_648801",1,1,1,1,1,1,1,1,"1"
"taxid_1772258",1,1,1,1,1,1,1,1,"1"
"taxid_1742596",1,1,1,1,1,1,1,1,"1"
"taxid_1931111",2,2,2,2,2,2,2,2,"2"
"taxid_223301",1,1,1,1,1,1,1,1,"1"
"taxid_223303",1,1,1,1,1,1,1,1,"1"
"taxid_223305",2,2,2,2,2,2,2,2,"2"
"taxid_884612",2,2,2,2,2,2,2,2,"2"
"taxid_83839",2,2,2,2,2,2,2,2,"2"
"taxid_519015",2,2,2,2,2,2,2,2,"2"
"taxid_1387160",1,1,1,1,1,1,1,1,"1"
"taxid_1987360",2,2,2,2,2,2,2,2,"2"
"taxid_292477",1,1,1,1,1,1,1,1,"1"
"taxid_1774200",1,1,1,1,1,1,1,1,"1"
"taxid_881944",2,2,2,2,2,2,2,2,"2"
"taxid_260378",2,2,2,2,2,2,2,2,"2"
"taxid_1830242",2,2,2,2,2,2,2,2,"2"
"taxid_2093274",2,2,2,2,2,2,2,2,"2"
"taxid_223307",1,1,1,1,1,1,1,1,"1"
"taxid_223308",1,1,1,1,1,1,1,1,"1"
"taxid_10827",1,1,1,1,1,1,1,1,"1"
"taxid_1225069",2,2,2,2,2,2,2,2,"2"
"taxid_1367126",2,2,2,2,2,2,2,2,"2"
"taxid_1198134",2,2,2,2,2,2,2,2,"2"
"taxid_2022321",2,2,2,2,2,2,2,2,"2"
"taxid_420684",2,2,2,2,2,2,2,2,"2"
"taxid_435646",2,2,2,2,2,2,2,2,"2"
"taxid_486809",1,1,1,1,1,1,1,1,"1"
"taxid_1874886",2,2,2,2,2,2,2,2,"2"
"taxid_889202",1,1,1,1,1,1,1,1,"1"
"taxid_1513519",1,1,1,1,1,1,1,1,"1"
"taxid_457286",1,1,1,1,1,1,1,1,"1"
"taxid_714308",1,1,1,1,1,1,1,1,"1"
"taxid_889203",1,1,1,1,1,1,1,1,"1"
"taxid_935473",1,1,1,1,1,1,1,1,"1"
"taxid_529680",1,1,1,1,1,1,1,1,"1"
"taxid_2012856",2,2,2,2,2,2,2,2,"2"
"taxid_2012857",2,2,2,2,2,2,2,2,"2"
"taxid_875323",2,2,2,2,2,2,2,2,"2"
"taxid_683179",2,2,2,2,2,2,2,2,"2"
"taxid_1130981",2,2,2,2,2,2,2,2,"2"
"taxid_310103",2,2,2,2,2,2,2,2,"2"
"taxid_1884991",2,2,2,2,2,2,2,2,"2"
"taxid_1904882",1,1,1,1,1,1,1,1,"1"
"taxid_666145",2,2,2,2,2,2,2,2,"2"
"taxid_1949196",1,1,1,1,1,1,1,1,"1"
"taxid_1949197",2,2,2,2,2,2,2,2,"2"
"taxid_1904883",1,1,1,1,1,1,1,1,"1"
"taxid_1264880",1,1,1,1,1,1,1,1,"1"
"taxid_536082",2,2,2,2,2,2,2,2,"2"
"taxid_929767",2,2,2,2,2,2,2,2,"2"
"taxid_929769",1,1,1,1,1,1,1,1,"1"
"taxid_223313",1,1,1,1,1,1,1,1,"1"
"taxid_871521",1,1,1,1,1,1,1,1,"1"
"taxid_223316",1,1,1,1,1,1,1,1,"1"
"taxid_1002681",2,2,2,2,2,2,2,2,"2"
"taxid_51034",1,1,1,1,1,1,1,1,"1"
"taxid_759390",1,1,1,1,1,1,1,1,"1"
"taxid_1949198",2,2,2,2,2,2,2,2,"2"
"taxid_223318",2,2,2,2,2,2,2,2,"2"
"taxid_929766",1,1,1,1,1,1,1,1,"1"
"taxid_337823",2,2,2,2,2,2,2,2,"2"
